date,close,high,low,open
2015.10.29 시작09:30,120.53,120.69,118.27,118.7
2015.10.30 시작09:30,119.5,121.22,119.45,120.99
2015.11.02 시작09:30,121.18,121.36,119.61,119.87
2015.11.03 시작09:30,122.57,123.49,120.7,120.79
2015.11.04 시작09:30,122.0,123.82,121.62,123.13
2015.11.05 시작09:30,120.92,122.69,120.18,121.85
2015.11.06 시작09:30,121.06,121.81,120.62,121.11
2015.11.09 시작09:30,120.57,121.81,120.05,120.96
2015.11.10 시작09:30,116.77,118.07,116.061,116.9
2015.11.11 시작09:30,116.11,117.42,115.21,116.37
2015.11.12 시작09:30,115.72,116.82,115.65,116.26
2015.11.13 시작09:30,112.34,115.57,112.27,115.2
2015.11.16 시작09:30,114.175,114.24,111.0,111.38
2015.11.17 시작09:30,113.69,115.05,113.32,114.92
2015.11.18 시작09:30,117.29,117.49,115.5,115.76
2015.11.19 시작09:30,118.78,119.75,116.76,117.64
2015.11.20 시작09:30,119.3,119.92,118.85,119.2
2015.11.23 시작09:30,117.75,119.73,117.34,119.27
2015.11.24 시작09:30,118.88,119.35,117.12,117.33
2015.11.25 시작09:30,118.03,119.23,117.92,119.21
2015.11.27 시작09:30,117.81,118.41,117.6,118.29
2015.11.30 시작09:30,118.3,119.41,117.75,117.99
2015.12.01 시작09:30,117.34,118.81,116.86,118.75
2015.12.02 시작09:30,116.28,118.11,116.08,117.05
2015.12.03 시작09:30,115.2,116.79,114.22,116.55
2015.12.04 시작09:30,119.03,119.25,115.11,115.29
2015.12.07 시작09:30,118.28,119.86,117.81,118.98
2015.12.08 시작09:30,118.23,118.6,116.86,117.52
2015.12.09 시작09:30,115.62,117.69,115.08,117.64
2015.12.10 시작09:30,116.17,116.94,115.51,116.04
2015.12.11 시작09:30,113.18,115.39,112.851,115.19
2015.12.14 시작09:30,112.48,112.68,109.79,112.18
2015.12.15 시작09:30,110.49,112.8,110.35,111.94
2015.12.16 시작09:30,111.34,111.99,108.8,111.07
2015.12.17 시작09:30,108.98,112.25,108.98,112.02
2015.12.18 시작09:30,106.03,109.52,105.81,108.91
2015.12.21 시작09:30,107.33,107.37,105.57,107.28
2015.12.22 시작09:30,107.23,107.72,106.451,107.4
2015.12.23 시작09:30,108.61,108.85,107.2,107.27
2015.12.24 시작09:30,108.03,109.0,107.95,109.0
2015.12.28 시작09:30,106.82,107.69,106.1807,107.59
2015.12.29 시작09:30,108.74,109.43,106.86,106.96
2015.12.30 시작09:30,107.32,108.7,107.18,108.58
2015.12.31 시작09:30,105.26,107.03,104.82,107.01
2016.01.04 시작09:30,105.35,105.368,102.0,102.61
2016.01.05 시작09:30,102.71,105.85,102.41,105.75
2016.01.06 시작09:30,100.7,102.37,99.87,100.56
2016.01.07 시작09:30,96.45,100.13,96.43,98.68
2016.01.08 시작09:30,96.96,99.11,96.76,98.55
2016.01.11 시작09:30,98.53,99.06,97.34,98.97
2016.01.12 시작09:30,99.96,100.69,98.8399,100.55
2016.01.13 시작09:30,97.39,101.19,97.3,100.32
2016.01.14 시작09:30,99.52,100.48,95.74,97.96
2016.01.15 시작09:30,97.13,97.71,95.36,96.2
2016.01.19 시작09:30,96.66,98.65,95.5,98.41
2016.01.20 시작09:30,96.79,98.1897,93.42,95.1
2016.01.21 시작09:30,96.3,97.88,94.94,97.06
2016.01.22 시작09:30,101.42,101.46,98.37,98.63
2016.01.25 시작09:30,99.44,101.53,99.21,101.52
2016.01.26 시작09:30,99.99,100.88,98.07,99.93
2016.01.27 시작09:30,93.42,96.6289,93.34,96.04
2016.01.28 시작09:30,94.09,94.52,92.39,93.79
2016.01.29 시작09:30,97.34,97.34,94.35,94.79
2016.02.01 시작09:30,96.43,96.71,95.4,96.47
2016.02.02 시작09:30,94.48,96.04,94.28,95.42
2016.02.03 시작09:30,96.35,96.84,94.08,95.0
2016.02.04 시작09:30,96.6,97.33,95.19,95.86
2016.02.05 시작09:30,94.02,96.92,93.69,96.52
2016.02.08 시작09:30,95.01,95.7,93.04,93.13
2016.02.09 시작09:30,94.99,95.94,93.93,94.29
2016.02.10 시작09:30,94.27,96.35,94.1,95.92
2016.02.11 시작09:30,93.7,94.72,92.59,93.79
2016.02.12 시작09:30,93.99,94.5,93.01,94.19
2016.02.16 시작09:30,96.64,96.85,94.61,95.02
2016.02.17 시작09:30,98.12,98.21,96.15,96.67
2016.02.18 시작09:30,96.26,98.89,96.091,98.84
2016.02.19 시작09:30,96.04,96.7599,95.8,96.0
2016.02.22 시작09:30,96.88,96.9,95.92,96.31
2016.02.23 시작09:30,94.69,96.5,94.55,96.4
2016.02.24 시작09:30,96.1,96.38,93.32,93.98
2016.02.25 시작09:30,96.76,96.76,95.25,96.05
2016.02.26 시작09:30,96.91,98.0237,96.58,97.2
2016.02.29 시작09:30,96.69,98.23,96.65,96.86
2016.03.01 시작09:30,100.53,100.77,97.42,97.65
2016.03.02 시작09:30,100.75,100.89,99.64,100.51
2016.03.03 시작09:30,101.5,101.7099,100.45,100.58
2016.03.04 시작09:30,103.01,103.75,101.37,102.37
2016.03.07 시작09:30,101.87,102.83,100.96,102.39
2016.03.08 시작09:30,101.03,101.76,100.4,100.78
2016.03.09 시작09:30,101.12,101.58,100.27,101.31
2016.03.10 시작09:30,101.17,102.24,100.15,101.41
2016.03.11 시작09:30,102.26,102.28,101.5,102.24
2016.03.14 시작09:30,102.52,102.91,101.78,101.91
2016.03.15 시작09:30,104.58,105.18,103.85,103.96
2016.03.16 시작09:30,105.97,106.31,104.59,104.61
2016.03.17 시작09:30,105.8,106.47,104.96,105.52
2016.03.18 시작09:30,105.92,106.5,105.19,106.34
2016.03.21 시작09:30,105.91,107.65,105.1401,105.93
2016.03.22 시작09:30,106.72,107.29,105.21,105.25
2016.03.23 시작09:30,106.13,107.07,105.9,106.48
2016.03.24 시작09:30,105.67,106.25,104.89,105.47
2016.03.28 시작09:30,105.19,106.19,105.06,106.0
2016.03.29 시작09:30,107.68,107.79,104.88,104.89
2016.03.30 시작09:30,109.56,110.42,108.6,108.65
2016.03.31 시작09:30,108.99,109.9,108.88,109.72
2016.04.01 시작09:30,109.99,110.0,108.2,108.78
2016.04.04 시작09:30,111.12,112.19,110.27,110.42
2016.04.05 시작09:30,109.81,110.73,109.42,109.51
2016.04.06 시작09:30,110.96,110.98,109.2,110.23
2016.04.07 시작09:30,108.54,110.42,108.121,109.95
2016.04.08 시작09:30,108.66,109.77,108.17,108.91
2016.04.11 시작09:30,109.02,110.61,108.83,108.97
2016.04.12 시작09:30,110.44,110.5,108.66,109.34
2016.04.13 시작09:30,112.04,112.34,110.8,110.8
